#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC3	TNFRSF1A	9606.ENSP00000263464	9606.ENSP00000162749	0	0.734	0.500	0	0.861
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0.964	0.900	0	0.996
BIRC3	RIPK1	9606.ENSP00000263464	9606.ENSP00000259808	0	0.457	0.800	0	0.886
BIRC3	IKBKG	9606.ENSP00000263464	9606.ENSP00000483825	0	0.453	0.500	0	0.714
BIRC3	IKBKB	9606.ENSP00000263464	9606.ENSP00000430684	0	0.596	0.500	0	0.789
BIRC3	TNF	9606.ENSP00000263464	9606.ENSP00000398698	0	0.457	0.500	0	0.716
BIRC3	DIABLO	9606.ENSP00000263464	9606.ENSP00000499058	0	0.743	0	0	0.743
BIRC3	XIAP	9606.ENSP00000263464	9606.ENSP00000360242	0	0.457	0.900	0	0.943
BIRC3	TRADD	9606.ENSP00000263464	9606.ENSP00000341268	0	0	0.800	0	0.800
BIRC3	TRAF1	9606.ENSP00000263464	9606.ENSP00000362994	0	0.964	0.500	0	0.981
CAPN1	CAPN2	9606.ENSP00000431984	9606.ENSP00000295006	0	0.394	0.900	0	0.936
CASP10	TNFRSF10A	9606.ENSP00000286186	9606.ENSP00000221132	0	0.457	0.500	0	0.716
CASP10	TNFSF10	9606.ENSP00000286186	9606.ENSP00000241261	0	0.457	0.500	0	0.716
CASP10	RIPK1	9606.ENSP00000286186	9606.ENSP00000259808	0	0.457	0.900	0	0.943
CASP10	TNFRSF10B	9606.ENSP00000286186	9606.ENSP00000276431	0	0.593	0.500	0	0.787
CASP10	FASLG	9606.ENSP00000286186	9606.ENSP00000356694	0	0.593	0.500	0	0.787
CASP10	FAS	9606.ENSP00000286186	9606.ENSP00000498466	0	0.593	0.900	0	0.957
CASP10	TRADD	9606.ENSP00000286186	9606.ENSP00000341268	0	0	0.900	0	0.900
CASP10	CFLAR	9606.ENSP00000286186	9606.ENSP00000312455	0	0.550	0.900	0	0.953
CASP10	FADD	9606.ENSP00000286186	9606.ENSP00000301838	0	0.593	0.900	0	0.957
CASP10	CASP8	9606.ENSP00000286186	9606.ENSP00000351273	0	0.636	0.900	0	0.962
CASP2	CASP3	9606.ENSP00000312664	9606.ENSP00000311032	0	0.538	0.700	0	0.855
CASP2	CASP8	9606.ENSP00000312664	9606.ENSP00000351273	0	0.628	0.540	0	0.821
CASP2	PIDD1	9606.ENSP00000312664	9606.ENSP00000337797	0	0.457	0.800	0	0.886
CASP3	CASP6	9606.ENSP00000311032	9606.ENSP00000265164	0	0.657	0.540	0	0.835
CASP3	CASP7	9606.ENSP00000311032	9606.ENSP00000358327	0	0.421	0.900	0	0.939
CASP3	CASP9	9606.ENSP00000311032	9606.ENSP00000330237	0	0.657	0.540	0	0.835
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0.636	0.900	0	0.962
CASP3	XIAP	9606.ENSP00000311032	9606.ENSP00000360242	0	0.969	0.700	0	0.990
CASP6	CASP8	9606.ENSP00000265164	9606.ENSP00000351273	0	0.636	0.540	0	0.825
CASP7	CASP8	9606.ENSP00000358327	9606.ENSP00000351273	0	0.628	0.540	0	0.821
CASP7	XIAP	9606.ENSP00000358327	9606.ENSP00000360242	0	0.971	0.700	0	0.991
CASP8	TNFRSF10A	9606.ENSP00000351273	9606.ENSP00000221132	0	0.593	0.500	0	0.787
CASP8	TNFSF10	9606.ENSP00000351273	9606.ENSP00000241261	0	0.577	0.500	0	0.779
CASP8	TRAF2	9606.ENSP00000351273	9606.ENSP00000247668	0	0.577	0.500	0	0.779
CASP8	RIPK1	9606.ENSP00000351273	9606.ENSP00000259808	0	0.564	0.900	0	0.954
CASP8	TNFRSF10B	9606.ENSP00000351273	9606.ENSP00000276431	0	0.593	0.500	0	0.787
CASP8	FADD	9606.ENSP00000351273	9606.ENSP00000301838	0	0.671	0.900	0	0.965
CASP8	CFLAR	9606.ENSP00000351273	9606.ENSP00000312455	0	0.960	0.900	0	0.995
CASP8	CASP9	9606.ENSP00000351273	9606.ENSP00000330237	0	0.628	0.540	0	0.821
CASP8	TRADD	9606.ENSP00000351273	9606.ENSP00000341268	0	0.457	0.900	0	0.943
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0.734	0	0	0.734
CASP8	FASLG	9606.ENSP00000351273	9606.ENSP00000356694	0	0.593	0.500	0	0.787
CASP8	FAS	9606.ENSP00000351273	9606.ENSP00000498466	0	0.593	0.900	0	0.957
CASP9	CYCS	9606.ENSP00000330237	9606.ENSP00000307786	0	0.915	0.800	0	0.982
CASP9	XIAP	9606.ENSP00000330237	9606.ENSP00000360242	0	0.971	0.500	0	0.985
CFLAR	TNFRSF10A	9606.ENSP00000312455	9606.ENSP00000221132	0	0.577	0.500	0	0.779
CFLAR	TNFSF10	9606.ENSP00000312455	9606.ENSP00000241261	0	0.457	0.500	0	0.716
CFLAR	TRAF2	9606.ENSP00000312455	9606.ENSP00000247668	0	0.457	0.500	0	0.716
CFLAR	RIPK1	9606.ENSP00000312455	9606.ENSP00000259808	0	0.457	0.900	0	0.943
CFLAR	TNFRSF10B	9606.ENSP00000312455	9606.ENSP00000276431	0	0.577	0.500	0	0.779
CFLAR	FADD	9606.ENSP00000312455	9606.ENSP00000301838	0	0.457	0.900	0	0.943
CFLAR	FAS	9606.ENSP00000312455	9606.ENSP00000498466	0	0.457	0.900	0	0.943
CFLAR	TRADD	9606.ENSP00000312455	9606.ENSP00000341268	0	0	0.900	0	0.900
CHUK	TNFRSF1A	9606.ENSP00000359424	9606.ENSP00000162749	0	0.734	0.500	0	0.861
CHUK	TRAF2	9606.ENSP00000359424	9606.ENSP00000247668	0	0.657	0.540	0	0.835
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0.457	0.500	0	0.716
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0.734	0.500	0	0.861
CHUK	MAP3K14	9606.ENSP00000359424	9606.ENSP00000482657	0	0.659	0.700	0	0.893
CHUK	IKBKG	9606.ENSP00000359424	9606.ENSP00000483825	0	0.734	0.900	0	0.972
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0.734	0.900	0	0.972
CSF2RB	IL3	9606.ENSP00000384053	9606.ENSP00000296870	0	0.946	0.400	0	0.966
CSF2RB	IL3RA	9606.ENSP00000384053	9606.ENSP00000327890	0	0.900	0.900	0	0.989
CTSB	CTSL	9606.ENSP00000345672	9606.ENSP00000345344	0	0	0.900	0	0.900
CTSB	CTSS	9606.ENSP00000345672	9606.ENSP00000357981	0	0.059	0.900	0	0.901
CTSL	CTSS	9606.ENSP00000345344	9606.ENSP00000357981	0	0	0.900	0	0.900
DAXX	MAP3K5	9606.ENSP00000266000	9606.ENSP00000351908	0	0.657	0.800	0	0.928
DFFA	DFFB	9606.ENSP00000366237	9606.ENSP00000339524	0	0.950	0.900	0	0.994
DIABLO	TRAF2	9606.ENSP00000499058	9606.ENSP00000247668	0	0.570	0.540	0	0.793
DIABLO	XIAP	9606.ENSP00000499058	9606.ENSP00000360242	0	0.735	0	0	0.735
DUSP16	MAPK8	9606.ENSP00000298573	9606.ENSP00000378974	0	0.945	0	0	0.945
ERN1	TRAF2	9606.ENSP00000401445	9606.ENSP00000247668	0	0.542	0.900	0	0.952
ERN1	MAP3K5	9606.ENSP00000401445	9606.ENSP00000351908	0	0.548	0.720	0	0.868
FADD	TNFRSF10A	9606.ENSP00000301838	9606.ENSP00000221132	0	0.577	0.500	0	0.779
FADD	TNFSF10	9606.ENSP00000301838	9606.ENSP00000241261	0	0.457	0.500	0	0.716
FADD	TRAF2	9606.ENSP00000301838	9606.ENSP00000247668	0	0.424	0.800	0	0.879
FADD	RIPK1	9606.ENSP00000301838	9606.ENSP00000259808	0	0.457	0.900	0	0.943
FADD	TNFRSF10B	9606.ENSP00000301838	9606.ENSP00000276431	0	0.593	0.500	0	0.787
FADD	IKBKG	9606.ENSP00000301838	9606.ENSP00000483825	0	0.457	0.500	0	0.716
FADD	FASLG	9606.ENSP00000301838	9606.ENSP00000356694	0	0.657	0.500	0	0.821
FADD	TRADD	9606.ENSP00000301838	9606.ENSP00000341268	0	0.457	0.900	0	0.943
FADD	FAS	9606.ENSP00000301838	9606.ENSP00000498466	0	0.967	0.900	0	0.996
FAS	TNFRSF1A	9606.ENSP00000498466	9606.ENSP00000162749	0	0.448	0.900	0	0.942
FAS	RIPK1	9606.ENSP00000498466	9606.ENSP00000259808	0	0.230	0.720	0	0.775
FAS	TNFRSF10B	9606.ENSP00000498466	9606.ENSP00000276431	0	0.448	0.500	0	0.712
FAS	TRADD	9606.ENSP00000498466	9606.ENSP00000341268	0	0.292	0.900	0	0.926
FAS	FASLG	9606.ENSP00000498466	9606.ENSP00000356694	0	0.657	0.900	0	0.964
FASLG	TNFRSF10B	9606.ENSP00000356694	9606.ENSP00000276431	0	0.448	0.500	0	0.712
FOS	JUN	9606.ENSP00000306245	9606.ENSP00000360266	0	0.972	0.900	0	0.997
GADD45A	GADD45B	9606.ENSP00000360025	9606.ENSP00000215631	0	0.292	0.900	0	0.926
GADD45A	GADD45G	9606.ENSP00000360025	9606.ENSP00000252506	0	0.292	0.900	0	0.926
GADD45B	GADD45G	9606.ENSP00000215631	9606.ENSP00000252506	0	0	0.900	0	0.900
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0.880	0.900	0	0.987
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0.500	0	0.716
HRAS	NRAS	9606.ENSP00000407586	9606.ENSP00000358548	0	0.330	0.900	0	0.930
HRAS	RAF1	9606.ENSP00000407586	9606.ENSP00000401888	0	0.965	0.500	0	0.982
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0.542	0.500	0	0.761
HTRA2	TNFRSF1A	9606.ENSP00000258080	9606.ENSP00000162749	0	0.734	0	0	0.734
HTRA2	TRAF2	9606.ENSP00000258080	9606.ENSP00000247668	0	0.541	0.540	0	0.779
IKBKB	TNFRSF1A	9606.ENSP00000430684	9606.ENSP00000162749	0	0.734	0.500	0	0.861
IKBKB	TRAF2	9606.ENSP00000430684	9606.ENSP00000247668	0	0.657	0.540	0	0.835
IKBKB	RIPK1	9606.ENSP00000430684	9606.ENSP00000259808	0	0.457	0.500	0	0.716
IKBKB	TNF	9606.ENSP00000430684	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IKBKB	IKBKG	9606.ENSP00000430684	9606.ENSP00000483825	0	0.972	0.900	0	0.997
IKBKG	TNFRSF1A	9606.ENSP00000483825	9606.ENSP00000162749	0	0.734	0.500	0	0.861
IKBKG	TRAF2	9606.ENSP00000483825	9606.ENSP00000247668	0	0.458	0.500	0	0.717
IKBKG	RIPK1	9606.ENSP00000483825	9606.ENSP00000259808	0	0.734	0.500	0	0.861
IKBKG	TNF	9606.ENSP00000483825	9606.ENSP00000398698	0	0.734	0.500	0	0.861
IL3	IL3RA	9606.ENSP00000296870	9606.ENSP00000327890	0	0.943	0.900	0	0.994
ITPR1	ITPR2	9606.ENSP00000306253	9606.ENSP00000370744	0	0	0.900	0	0.900
ITPR1	ITPR3	9606.ENSP00000306253	9606.ENSP00000363435	0	0.627	0.900	0	0.961
ITPR2	ITPR3	9606.ENSP00000370744	9606.ENSP00000363435	0	0.488	0.900	0	0.946
JUN	MAPK8	9606.ENSP00000360266	9606.ENSP00000378974	0	0.511	0.900	0	0.949
JUN	MAPK9	9606.ENSP00000360266	9606.ENSP00000394560	0	0.511	0.900	0	0.949
KRAS	MAPK1	9606.ENSP00000256078	9606.ENSP00000215832	0	0.457	0.500	0	0.716
KRAS	MAP2K1	9606.ENSP00000256078	9606.ENSP00000302486	0	0.559	0.500	0	0.770
KRAS	NRAS	9606.ENSP00000256078	9606.ENSP00000358548	0	0.395	0.900	0	0.936
KRAS	RAF1	9606.ENSP00000256078	9606.ENSP00000401888	0	0.614	0.500	0	0.799
LMNA	LMNB1	9606.ENSP00000357283	9606.ENSP00000261366	0	0.688	0.900	0	0.967
LMNA	LMNB2	9606.ENSP00000357283	9606.ENSP00000327054	0	0.457	0.900	0	0.943
LMNB1	LMNB2	9606.ENSP00000261366	9606.ENSP00000327054	0	0.629	0.900	0	0.961
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0.900	0	0.964
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K1	RAF1	9606.ENSP00000302486	9606.ENSP00000401888	0	0.712	0.400	0	0.819
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0.900	0	0.996
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0.500	0	0.759
MAP2K2	RAF1	9606.ENSP00000262948	9606.ENSP00000401888	0	0.746	0.400	0	0.841
MAP3K14	TRAF2	9606.ENSP00000482657	9606.ENSP00000247668	0	0.457	0.500	0	0.716
MAP3K5	TRAF2	9606.ENSP00000351908	9606.ENSP00000247668	0	0.457	0.720	0	0.841
MAPK1	RAF1	9606.ENSP00000215832	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0.900	0	0.961
MAPK3	RAF1	9606.ENSP00000263025	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK8	MAPK9	9606.ENSP00000378974	9606.ENSP00000394560	0	0.734	0.900	0	0.972
MCL1	PMAIP1	9606.ENSP00000358022	9606.ENSP00000326119	0	0.759	0.540	0	0.884
NFKB1	NFKBIA	9606.ENSP00000226574	9606.ENSP00000216797	0	0.960	0.900	0	0.995
NFKB1	RELA	9606.ENSP00000226574	9606.ENSP00000384273	0	0.959	0.900	0	0.995
NFKBIA	RELA	9606.ENSP00000216797	9606.ENSP00000384273	0	0.967	0.800	0	0.993
NGF	NTRK1	9606.ENSP00000358525	9606.ENSP00000431418	0	0.960	0.900	0	0.995
NRAS	RAF1	9606.ENSP00000358548	9606.ENSP00000401888	0	0.564	0.500	0	0.772
PARP1	PARP2	9606.ENSP00000355759	9606.ENSP00000250416	0	0.457	0.800	0	0.886
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0.922	0	0.968
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0.944	0	0.978
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.900	0	0.900
PIK3CA	PIK3CD	9606.ENSP00000263967	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0.967	0	0.998
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0.904	0	0.976
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0.904	0	0.966
PIK3CB	PIK3CD	9606.ENSP00000501150	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0.904	0	0.968
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0.904	0	0.942
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0.904	0	0.944
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0.904	0	0.994
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0.900	0	0.965
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0.944	0	0.980
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0.900	0	0.963
RIPK1	TNFRSF1A	9606.ENSP00000259808	9606.ENSP00000162749	0	0.734	0.500	0	0.861
RIPK1	TNFSF10	9606.ENSP00000259808	9606.ENSP00000241261	0	0.457	0.500	0	0.716
RIPK1	TRAF2	9606.ENSP00000259808	9606.ENSP00000247668	0	0.734	0.800	0	0.944
RIPK1	XIAP	9606.ENSP00000259808	9606.ENSP00000360242	0	0.457	0.500	0	0.716
RIPK1	TNFRSF10B	9606.ENSP00000259808	9606.ENSP00000276431	0	0.457	0.500	0	0.716
RIPK1	TRAF1	9606.ENSP00000259808	9606.ENSP00000362994	0	0.457	0.800	0	0.886
RIPK1	TNF	9606.ENSP00000259808	9606.ENSP00000398698	0	0.734	0.500	0	0.861
RIPK1	TRADD	9606.ENSP00000259808	9606.ENSP00000341268	0	0.734	0.900	0	0.972
SEPTIN4	XIAP	9606.ENSP00000354874	9606.ENSP00000360242	0	0.457	0.900	0	0.943
TNF	TNFRSF1A	9606.ENSP00000398698	9606.ENSP00000162749	0	0.972	0.900	0	0.997
TNF	TRAF2	9606.ENSP00000398698	9606.ENSP00000247668	0	0.734	0.500	0	0.861
TNF	TRADD	9606.ENSP00000398698	9606.ENSP00000341268	0	0.734	0.500	0	0.861
TNFRSF10A	TNFRSF10B	9606.ENSP00000221132	9606.ENSP00000276431	0	0.457	0.900	0	0.943
TNFRSF10A	TNFSF10	9606.ENSP00000221132	9606.ENSP00000241261	0	0.952	0.700	0	0.984
TNFRSF10B	TNFSF10	9606.ENSP00000276431	9606.ENSP00000241261	0	0.960	0.700	0	0.987
TNFRSF10B	TRAF2	9606.ENSP00000276431	9606.ENSP00000247668	0	0.577	0.500	0	0.779
TNFRSF1A	TRAF1	9606.ENSP00000162749	9606.ENSP00000362994	0	0.457	0.500	0	0.716
TNFRSF1A	TRAF2	9606.ENSP00000162749	9606.ENSP00000247668	0	0.734	0.720	0	0.922
TNFRSF1A	TRADD	9606.ENSP00000162749	9606.ENSP00000341268	0	0.734	0.900	0	0.972
TRADD	TRAF2	9606.ENSP00000341268	9606.ENSP00000247668	0	0.972	0.900	0	0.997
TRADD	TRAF1	9606.ENSP00000341268	9606.ENSP00000362994	0	0.457	0.800	0	0.886
TRAF1	TRAF2	9606.ENSP00000362994	9606.ENSP00000247668	0	0.964	0.900	0	0.996
TRAF2	XIAP	9606.ENSP00000247668	9606.ENSP00000360242	0	0.292	0.900	0	0.926
TUBA1A	TUBA1B	9606.ENSP00000439020	9606.ENSP00000336799	0	0.922	0	0	0.922
