#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EP300	SMAD4	9606.ENSP00000263253	9606.ENSP00000341551	0	0.457	0.500	0	0.716
EP300	FOXO4	9606.ENSP00000263253	9606.ENSP00000363377	0	0.076	0.900	0	0.903
EP300	PRMT1	9606.ENSP00000263253	9606.ENSP00000406162	0	0.457	0.800	0	0.886
EP300	SMAD3	9606.ENSP00000263253	9606.ENSP00000332973	0	0.457	0.500	0	0.716
FBXO25	FBXO32	9606.ENSP00000372274	9606.ENSP00000428205	0	0.292	0.900	0	0.926
FOXO1	SMAD3	9606.ENSP00000368880	9606.ENSP00000332973	0	0.292	0.900	0	0.926
FOXO1	FOXO3	9606.ENSP00000368880	9606.ENSP00000339527	0	0	0.900	0	0.900
FOXO1	FOXO4	9606.ENSP00000368880	9606.ENSP00000363377	0	0.258	0.900	0	0.922
FOXO3	SMAD3	9606.ENSP00000339527	9606.ENSP00000332973	0	0.457	0.900	0	0.943
FOXO3	FOXO4	9606.ENSP00000339527	9606.ENSP00000363377	0	0	0.900	0	0.900
FOXO3	SMAD4	9606.ENSP00000339527	9606.ENSP00000341551	0	0.457	0.500	0	0.716
FOXO4	USP7	9606.ENSP00000363377	9606.ENSP00000343535	0	0.457	0.500	0	0.716
G6PC	G6PC3	9606.ENSP00000253801	9606.ENSP00000269097	0	0	0.900	0	0.900
G6PC	G6PC2	9606.ENSP00000253801	9606.ENSP00000364512	0	0	0.900	0	0.900
G6PC2	G6PC3	9606.ENSP00000364512	9606.ENSP00000269097	0	0	0.900	0	0.900
GABARAP	GABARAPL2	9606.ENSP00000306866	9606.ENSP00000037243	0	0.166	0.900	0	0.913
GABARAP	GABARAPL1	9606.ENSP00000306866	9606.ENSP00000411256	0	0.166	0.900	0	0.913
GABARAPL1	GABARAPL2	9606.ENSP00000411256	9606.ENSP00000037243	0	0.166	0.900	0	0.913
GADD45A	GADD45B	9606.ENSP00000360025	9606.ENSP00000215631	0	0.292	0.900	0	0.926
GADD45A	GADD45G	9606.ENSP00000360025	9606.ENSP00000252506	0	0.292	0.900	0	0.926
GADD45B	GADD45G	9606.ENSP00000215631	9606.ENSP00000252506	0	0	0.900	0	0.900
GRB2	SOS2	9606.ENSP00000376345	9606.ENSP00000216373	0	0.700	0.900	0	0.968
GRB2	INSR	9606.ENSP00000376345	9606.ENSP00000303830	0	0.418	0.650	0	0.787
GRB2	PIK3R1	9606.ENSP00000376345	9606.ENSP00000428056	0	0.644	0.400	0	0.777
GRB2	SOS1	9606.ENSP00000376345	9606.ENSP00000384675	0	0.834	0.900	0	0.982
GRM1	HOMER2	9606.ENSP00000282753	9606.ENSP00000305632	0	0	0.900	0	0.900
GRM1	HOMER3	9606.ENSP00000282753	9606.ENSP00000439937	0	0	0.900	0	0.900
GRM1	HOMER1	9606.ENSP00000282753	9606.ENSP00000334382	0	0.292	0.900	0	0.926
HOMER1	HOMER2	9606.ENSP00000334382	9606.ENSP00000305632	0	0.672	0.900	0	0.965
HOMER1	HOMER3	9606.ENSP00000334382	9606.ENSP00000439937	0	0.653	0.900	0	0.963
HOMER2	HOMER3	9606.ENSP00000305632	9606.ENSP00000439937	0	0.671	0.900	0	0.965
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0.880	0.900	0	0.987
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0.500	0	0.716
HRAS	NRAS	9606.ENSP00000407586	9606.ENSP00000358548	0	0.330	0.900	0	0.930
HRAS	SOS1	9606.ENSP00000407586	9606.ENSP00000384675	0	0.960	0.540	0	0.980
HRAS	RAF1	9606.ENSP00000407586	9606.ENSP00000401888	0	0.965	0.500	0	0.982
HRAS	PIK3R1	9606.ENSP00000407586	9606.ENSP00000428056	0	0.542	0.500	0	0.761
IGF1	INSR	9606.ENSP00000376637	9606.ENSP00000303830	0	0.960	0	0	0.960
IGF1	INS	9606.ENSP00000376637	9606.ENSP00000380432	0	0	0.900	0	0.900
IGF1	IGF1R	9606.ENSP00000376637	9606.ENSP00000497069	0	0.960	0.900	0	0.995
IGF1R	INSR	9606.ENSP00000497069	9606.ENSP00000303830	0	0.927	0.900	0	0.992
IGF1R	IRS1	9606.ENSP00000497069	9606.ENSP00000304895	0	0.945	0.540	0	0.974
IGF1R	INS	9606.ENSP00000497069	9606.ENSP00000380432	0	0.900	0.800	0	0.979
INS	INSR	9606.ENSP00000380432	9606.ENSP00000303830	0	0.967	0.800	0	0.993
INSR	IRS2	9606.ENSP00000303830	9606.ENSP00000365016	0	0.945	0.500	0	0.971
INSR	IRS1	9606.ENSP00000303830	9606.ENSP00000304895	0	0.945	0.540	0	0.974
IRS1	IRS4	9606.ENSP00000304895	9606.ENSP00000361202	0	0	0.900	0	0.900
IRS1	PIK3R1	9606.ENSP00000304895	9606.ENSP00000428056	0	0.549	0.400	0	0.717
IRS1	IRS2	9606.ENSP00000304895	9606.ENSP00000365016	0	0.287	0.900	0	0.925
IRS2	IRS4	9606.ENSP00000365016	9606.ENSP00000361202	0	0	0.900	0	0.900
KRAS	MAPK1	9606.ENSP00000256078	9606.ENSP00000215832	0	0.457	0.500	0	0.716
KRAS	MAP2K1	9606.ENSP00000256078	9606.ENSP00000302486	0	0.559	0.500	0	0.770
KRAS	NRAS	9606.ENSP00000256078	9606.ENSP00000358548	0	0.395	0.900	0	0.936
KRAS	RAF1	9606.ENSP00000256078	9606.ENSP00000401888	0	0.614	0.500	0	0.799
KRAS	SOS1	9606.ENSP00000256078	9606.ENSP00000384675	0	0.943	0	0	0.943
MAP2K1	MAPK1	9606.ENSP00000302486	9606.ENSP00000215832	0	0.537	0.500	0	0.759
MAP2K1	MAP2K2	9606.ENSP00000302486	9606.ENSP00000262948	0	0.661	0.900	0	0.964
MAP2K1	MAPK3	9606.ENSP00000302486	9606.ENSP00000263025	0	0.537	0.900	0	0.951
MAP2K1	RAF1	9606.ENSP00000302486	9606.ENSP00000401888	0	0.712	0.400	0	0.819
MAP2K2	MAPK1	9606.ENSP00000262948	9606.ENSP00000215832	0	0.965	0.900	0	0.996
MAP2K2	MAPK3	9606.ENSP00000262948	9606.ENSP00000263025	0	0.537	0.500	0	0.759
MAP2K2	RAF1	9606.ENSP00000262948	9606.ENSP00000401888	0	0.746	0.400	0	0.841
MAPK1	RAF1	9606.ENSP00000215832	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0.633	0.900	0	0.961
MAPK1	STAT3	9606.ENSP00000215832	9606.ENSP00000264657	0	0.926	0	0	0.926
MAPK3	RAF1	9606.ENSP00000263025	9606.ENSP00000401888	0	0.457	0.500	0	0.716
MAPK8	MAPK9	9606.ENSP00000378974	9606.ENSP00000394560	0	0.734	0.900	0	0.972
MDM2	USP7	9606.ENSP00000258149	9606.ENSP00000343535	0	0.618	0.500	0	0.800
NRAS	RAF1	9606.ENSP00000358548	9606.ENSP00000401888	0	0.564	0.500	0	0.772
PCK1	PCK2	9606.ENSP00000319814	9606.ENSP00000216780	0	0.319	0.900	0	0.928
PIK3CA	PIK3R2	9606.ENSP00000263967	9606.ENSP00000222254	0	0.611	0.922	0	0.968
PIK3CA	PIK3R3	9606.ENSP00000263967	9606.ENSP00000262741	0	0.635	0.944	0	0.978
PIK3CA	PIK3CB	9606.ENSP00000263967	9606.ENSP00000501150	0	0	0.900	0	0.900
PIK3CA	PIK3CD	9606.ENSP00000263967	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CA	PIK3R1	9606.ENSP00000263967	9606.ENSP00000428056	0	0.963	0.967	0	0.998
PIK3CB	PIK3R2	9606.ENSP00000501150	9606.ENSP00000222254	0	0.766	0.904	0	0.976
PIK3CB	PIK3R3	9606.ENSP00000501150	9606.ENSP00000262741	0	0.659	0.904	0	0.966
PIK3CB	PIK3CD	9606.ENSP00000501150	9606.ENSP00000366563	0	0	0.900	0	0.900
PIK3CB	PIK3R1	9606.ENSP00000501150	9606.ENSP00000428056	0	0.678	0.904	0	0.968
PIK3CD	PIK3R2	9606.ENSP00000366563	9606.ENSP00000222254	0	0.417	0.904	0	0.942
PIK3CD	PIK3R3	9606.ENSP00000366563	9606.ENSP00000262741	0	0.443	0.904	0	0.944
PIK3CD	PIK3R1	9606.ENSP00000366563	9606.ENSP00000428056	0	0.947	0.904	0	0.994
PIK3R1	PIK3R2	9606.ENSP00000428056	9606.ENSP00000222254	0	0.669	0.900	0	0.965
PIK3R1	PIK3R3	9606.ENSP00000428056	9606.ENSP00000262741	0	0.661	0.944	0	0.980
PIK3R1	SOS1	9606.ENSP00000428056	9606.ENSP00000384675	0	0.613	0.500	0	0.798
PIK3R2	PIK3R3	9606.ENSP00000222254	9606.ENSP00000262741	0	0.654	0.900	0	0.963
PLK3	RAF1	9606.ENSP00000361275	9606.ENSP00000401888	0	0	0.900	0	0.900
PRKAA1	PRKAB2	9606.ENSP00000346148	9606.ENSP00000254101	0	0.906	0.900	0	0.990
PRKAA1	PRKAG2	9606.ENSP00000346148	9606.ENSP00000287878	0	0.768	0.900	0	0.975
PRKAA1	PRKAG1	9606.ENSP00000346148	9606.ENSP00000323867	0	0.770	0.900	0	0.976
PRKAA1	PRKAA2	9606.ENSP00000346148	9606.ENSP00000360290	0	0.433	0.900	0	0.940
PRKAA1	PRKAG3	9606.ENSP00000346148	9606.ENSP00000397133	0	0.756	0.900	0	0.974
PRKAA1	PRKAB1	9606.ENSP00000346148	9606.ENSP00000441369	0	0.858	0.900	0	0.985
PRKAA2	PRKAB2	9606.ENSP00000360290	9606.ENSP00000254101	0	0.976	0.900	0	0.997
PRKAA2	PRKAG2	9606.ENSP00000360290	9606.ENSP00000287878	0	0.741	0.900	0	0.973
PRKAA2	PRKAG1	9606.ENSP00000360290	9606.ENSP00000323867	0	0.972	0.900	0	0.997
PRKAA2	PRKAG3	9606.ENSP00000360290	9606.ENSP00000397133	0	0.735	0.900	0	0.972
PRKAA2	PRKAB1	9606.ENSP00000360290	9606.ENSP00000441369	0	0.976	0.900	0	0.997
PRKAB1	PRKAB2	9606.ENSP00000441369	9606.ENSP00000254101	0	0.671	0.900	0	0.965
PRKAB1	PRKAG2	9606.ENSP00000441369	9606.ENSP00000287878	0	0.778	0.900	0	0.976
PRKAB1	PRKAG1	9606.ENSP00000441369	9606.ENSP00000323867	0	0.976	0.900	0	0.997
PRKAB1	PRKAG3	9606.ENSP00000441369	9606.ENSP00000397133	0	0.769	0.900	0	0.975
PRKAB2	PRKAG3	9606.ENSP00000254101	9606.ENSP00000397133	0	0.769	0.900	0	0.975
PRKAB2	PRKAG2	9606.ENSP00000254101	9606.ENSP00000287878	0	0.781	0.900	0	0.977
PRKAB2	PRKAG1	9606.ENSP00000254101	9606.ENSP00000323867	0	0.976	0.900	0	0.997
PRKAG1	PRKAG2	9606.ENSP00000323867	9606.ENSP00000287878	0	0.530	0.900	0	0.950
PRKAG1	PRKAG3	9606.ENSP00000323867	9606.ENSP00000397133	0	0	0.900	0	0.900
PRKAG2	PRKAG3	9606.ENSP00000287878	9606.ENSP00000397133	0	0	0.900	0	0.900
PTEN	USP7	9606.ENSP00000361021	9606.ENSP00000343535	0	0.457	0.500	0	0.716
RAF1	SGK1	9606.ENSP00000401888	9606.ENSP00000356832	0	0.457	0.500	0	0.716
RAG1	RAG2	9606.ENSP00000299440	9606.ENSP00000478672	0	0.846	0.900	0	0.983
RBL2	SKP2	9606.ENSP00000262133	9606.ENSP00000274255	0	0.457	0.500	0	0.716
S1PR1	S1PR4	9606.ENSP00000305416	9606.ENSP00000246115	0	0	0.900	0	0.900
SGK1	SGK2	9606.ENSP00000356832	9606.ENSP00000340608	0	0	0.900	0	0.900
SGK1	SGK3	9606.ENSP00000356832	9606.ENSP00000379842	0	0	0.900	0	0.900
SGK2	SGK3	9606.ENSP00000340608	9606.ENSP00000379842	0	0.329	0.900	0	0.930
SMAD3	SMAD4	9606.ENSP00000332973	9606.ENSP00000341551	0	0.963	0.900	0	0.996
SOS1	SOS2	9606.ENSP00000384675	9606.ENSP00000216373	0	0	0.900	0	0.900
TGFB1	TGFB2	9606.ENSP00000221930	9606.ENSP00000355896	0	0.561	0.540	0	0.789
TGFB1	TGFB3	9606.ENSP00000221930	9606.ENSP00000238682	0	0	0.900	0	0.900
TGFB1	TGFBR1	9606.ENSP00000221930	9606.ENSP00000447297	0	0.950	0.540	0	0.976
TGFB1	TGFBR2	9606.ENSP00000221930	9606.ENSP00000351905	0	0.952	0.700	0	0.984
TGFB2	TGFBR2	9606.ENSP00000355896	9606.ENSP00000351905	0	0.926	0	0	0.926
TGFB3	TGFBR1	9606.ENSP00000238682	9606.ENSP00000447297	0	0.955	0.540	0	0.978
TGFB3	TGFBR2	9606.ENSP00000238682	9606.ENSP00000351905	0	0.960	0.540	0	0.980
TGFBR1	TGFBR2	9606.ENSP00000447297	9606.ENSP00000351905	0	0.943	0.900	0	0.994
